"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
335,07/16/16 01:30:00 AM,1.27961,14.840,,,
336,07/16/16 01:45:00 AM,1.27900,14.816,,,
337,07/16/16 02:00:00 AM,1.27900,14.768,,,
338,07/16/16 02:15:00 AM,1.27900,14.721,,,
339,07/16/16 02:30:00 AM,1.27961,14.625,,,
340,07/16/16 02:45:00 AM,1.27900,14.673,,,
341,07/16/16 03:00:00 AM,1.27900,14.601,,,
342,07/16/16 03:15:00 AM,1.27900,14.505,,,
343,07/16/16 03:30:00 AM,1.27900,14.457,,,
344,07/16/16 03:45:00 AM,1.27839,14.409,,,
345,07/16/16 04:00:00 AM,1.27900,14.385,,,
346,07/16/16 04:15:00 AM,1.27900,14.337,,,
347,07/16/16 04:30:00 AM,1.27900,14.290,,,
348,07/16/16 04:45:00 AM,1.27900,14.266,,,
349,07/16/16 05:00:00 AM,1.27900,14.266,,,
350,07/16/16 05:15:00 AM,1.27839,14.218,,,
351,07/16/16 05:30:00 AM,1.27839,14.242,,,
352,07/16/16 05:45:00 AM,1.27900,14.194,,,
353,07/16/16 06:00:00 AM,1.27839,14.194,,,
354,07/16/16 06:15:00 AM,1.27900,14.170,,,
355,07/16/16 06:30:00 AM,1.27900,14.194,,,
356,07/16/16 06:45:00 AM,1.27900,14.218,,,
357,07/16/16 07:00:00 AM,1.27839,14.218,,,
358,07/16/16 07:15:00 AM,1.27900,14.218,,,
359,07/16/16 07:30:00 AM,1.27900,14.218,,,
360,07/16/16 07:45:00 AM,1.27900,14.242,,,
361,07/16/16 08:00:00 AM,1.27900,14.242,,,
362,07/16/16 08:15:00 AM,1.27900,14.314,,,
363,07/16/16 08:30:00 AM,1.27900,14.361,,,
364,07/16/16 08:45:00 AM,1.27900,14.433,,,
365,07/16/16 09:00:00 AM,1.27900,14.505,,,
366,07/16/16 09:15:00 AM,1.27900,14.601,,,
367,07/16/16 09:30:00 AM,1.27961,14.721,,,
368,07/16/16 09:45:00 AM,1.27900,14.816,,,
369,07/16/16 10:00:00 AM,1.27961,14.912,,,
370,07/16/16 10:15:00 AM,1.27961,15.008,,,
371,07/16/16 10:30:00 AM,1.28022,15.175,,,
372,07/16/16 10:45:00 AM,1.28022,15.366,,,
373,07/16/16 11:00:00 AM,1.28022,15.533,,,
374,07/16/16 11:15:00 AM,1.28083,15.676,,,
375,07/16/16 11:30:00 AM,1.28083,15.772,,,
376,07/16/16 11:45:00 AM,1.28083,15.939,,,
377,07/16/16 12:00:00 PM,1.28083,16.106,,,
378,07/16/16 12:15:00 PM,1.28144,16.296,,,
379,07/16/16 12:30:00 PM,1.28144,16.606,,,
380,07/16/16 12:45:00 PM,1.28205,16.820,,,
381,07/16/16 01:00:00 PM,1.28205,17.130,,,
382,07/16/16 01:15:00 PM,1.28327,17.177,,,
383,07/16/16 01:30:00 PM,1.28327,17.677,,,
384,07/16/16 01:45:00 PM,1.28327,17.796,,,
385,07/16/16 02:00:00 PM,1.28327,17.724,,,
386,07/16/16 02:15:00 PM,1.28388,17.748,,,
387,07/16/16 02:30:00 PM,1.28327,17.724,,,
388,07/16/16 02:45:00 PM,1.28327,17.819,,,
389,07/16/16 03:00:00 PM,1.28388,18.010,,,
390,07/16/16 03:15:00 PM,1.28388,18.057,,,
391,07/16/16 03:30:00 PM,1.28388,18.247,,,
392,07/16/16 03:45:00 PM,1.28449,18.271,,,
393,07/16/16 04:00:00 PM,1.28449,18.604,,,
394,07/16/16 04:15:00 PM,1.28510,19.008,,,
395,07/16/16 04:30:00 PM,1.28510,19.270,,,
396,07/16/16 04:45:00 PM,1.28510,19.365,,,
397,07/16/16 05:00:00 PM,1.28571,19.341,,,
398,07/16/16 05:15:00 PM,1.28571,19.460,,,
399,07/16/16 05:30:00 PM,1.28632,19.603,,,
400,07/16/16 05:45:00 PM,1.28632,19.627,,,
401,07/16/16 06:00:00 PM,1.28510,19.603,,,
402,07/16/16 06:15:00 PM,1.28449,19.413,,,
403,07/16/16 06:30:00 PM,1.28144,19.436,,,
404,07/16/16 06:45:00 PM,1.28022,19.484,,,
