Plot Title: hobo11,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature1)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature2)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature3)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065777),Arrêté (LGR S/N: 21065777),Fin de fichier (LGR S/N: 21065777)
350,09/13/24 08:15:00 AM,13.216,13.7,14.128,14.357,,,
351,09/13/24 08:30:00 AM,13.204,13.709,14.017,14.316,,,
352,09/13/24 08:45:00 AM,13.186,13.681,14.006,14.333,,,
353,09/13/24 09:00:00 AM,13.171,13.682,14.053,14.307,,,
354,09/13/24 09:15:00 AM,13.162,13.684,13.987,14.301,,,
355,09/13/24 09:30:00 AM,13.153,13.646,13.999,14.306,,,
356,09/13/24 09:45:00 AM,13.148,13.599,14.032,14.303,,,
357,09/13/24 10:00:00 AM,13.138,13.629,13.978,14.276,,,
358,09/13/24 10:15:00 AM,13.13,13.587,13.967,14.261,,,
359,09/13/24 10:30:00 AM,13.127,13.605,13.967,14.261,,,
360,09/13/24 10:45:00 AM,13.124,13.539,14.002,14.262,,,
361,09/13/24 11:00:00 AM,13.124,13.541,13.979,14.253,,,
362,09/13/24 11:15:00 AM,13.127,13.518,13.94,14.232,,,
363,09/13/24 11:30:00 AM,13.135,13.529,13.936,14.226,,,
364,09/13/24 11:45:00 AM,13.142,13.455,13.985,14.238,,,
365,09/13/24 12:00:00 PM,13.15,13.451,13.9,14.222,,,
366,09/13/24 12:15:00 PM,13.16,13.442,13.909,14.211,,,
367,09/13/24 12:30:00 PM,13.174,13.427,13.879,14.192,,,
368,09/13/24 12:45:00 PM,13.181,13.43,13.91,14.201,,,
369,09/13/24 01:00:00 PM,13.192,13.427,13.91,14.191,,,
370,09/13/24 01:15:00 PM,13.204,13.433,13.957,14.203,,,
371,09/13/24 01:30:00 PM,13.215,13.421,13.922,14.206,,,
372,09/13/24 01:45:00 PM,13.227,13.431,13.936,14.177,,,
