"Date Heure, GMT+01:00",Température 1 (°C),Température 2 (°C),Température 3 (°C),Température 4 (°C)
16/07/05 00:00,14.888,14.505,14.194,13.882
16/07/05 00:15,14.864,14.505,14.218,13.882
16/07/05 00:30,14.864,14.505,14.218,13.906
16/07/05 00:45,14.84,14.505,14.218,13.906
16/07/05 01:00,14.816,14.505,14.218,13.906
16/07/05 01:15,14.792,14.505,14.218,13.906
16/07/05 01:30,14.768,14.505,14.242,13.906
16/07/05 01:45,14.745,14.505,14.242,13.93
16/07/05 02:00,14.721,14.505,14.242,13.93
16/07/05 02:15,14.673,14.481,14.242,13.93
16/07/05 02:30,14.649,14.481,14.242,13.93
16/07/05 02:45,14.625,14.481,14.242,13.93
16/07/05 03:00,14.601,14.457,14.242,13.93
16/07/05 03:15,14.553,14.457,14.242,13.954
16/07/05 03:30,14.529,14.433,14.242,13.954
16/07/05 03:45,14.481,14.433,14.242,13.954
16/07/05 04:00,14.457,14.409,14.242,13.954
16/07/05 04:15,14.433,14.409,14.242,13.954
16/07/05 04:30,14.409,14.385,14.242,13.954
16/07/05 04:45,14.385,14.385,14.242,13.954
16/07/05 05:00,14.337,14.361,14.242,13.954
16/07/05 05:15,14.314,14.361,14.218,13.954
16/07/05 05:30,14.314,14.337,14.218,13.954
16/07/05 05:45,14.266,14.337,14.218,13.954
16/07/05 06:00,14.242,14.314,14.218,13.978
16/07/05 06:15,14.218,14.29,14.194,13.954
16/07/05 06:30,14.194,14.29,14.194,13.954
16/07/05 06:45,14.17,14.266,14.194,13.954
16/07/05 07:00,14.146,14.242,14.194,13.954
16/07/05 07:15,14.146,14.242,14.17,13.954
16/07/05 07:30,14.122,14.218,14.17,13.954
16/07/05 07:45,14.098,14.194,14.17,13.954
16/07/05 08:00,14.074,14.194,14.17,13.954
16/07/05 08:15,14.074,14.194,14.146,13.954
16/07/05 08:30,14.05,14.17,14.146,13.954
16/07/05 08:45,14.05,14.146,14.146,13.954
16/07/05 09:00,14.026,14.146,14.122,13.954
16/07/05 09:15,14.026,14.146,14.122,13.93
16/07/05 09:30,14.026,14.122,14.122,13.93
16/07/05 09:45,14.026,14.098,14.122,13.93
16/07/05 10:00,14.026,14.098,14.098,13.93
16/07/05 10:15,14.002,14.098,14.098,13.93
16/07/05 10:30,14.002,14.074,14.074,13.93
16/07/05 10:45,14.026,14.074,14.074,13.93
16/07/05 11:00,14.026,14.074,14.074,13.906
16/07/05 11:15,14.05,14.074,14.074,13.906
16/07/05 11:30,14.05,14.05,14.05,13.906
16/07/05 11:45,14.05,14.05,14.05,13.906
16/07/05 12:00,14.074,14.05,14.05,13.906
16/07/05 12:15,14.098,14.05,14.05,13.906
16/07/05 12:30,14.122,14.05,14.05,13.906
16/07/05 12:45,14.146,14.05,14.026,13.906
16/07/05 13:00,14.146,14.05,14.026,13.882
16/07/05 13:15,14.17,14.05,14.026,13.882
16/07/05 13:30,14.194,14.05,14.026,13.882
16/07/05 13:45,14.218,14.05,14.026,13.882
