Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
241,2009/12/24 4:00,13.336,14.619,15.233,15.418,,,
242,2009/12/24 4:15,13.309,14.598,15.224,15.409,,,
243,2009/12/24 4:30,13.282,14.575,15.215,15.399,,,
244,2009/12/24 4:45,13.242,14.554,15.208,15.39,,,
245,2009/12/24 5:00,13.159,14.524,15.197,15.379,,,
246,2009/12/24 5:15,13.096,14.498,15.188,15.37,,,
247,2009/12/24 5:30,13.144,14.477,15.178,15.361,,,
248,2009/12/24 5:45,13.046,14.459,15.169,15.351,,,
249,2009/12/24 6:00,12.995,14.435,15.158,15.342,,,
250,2009/12/24 6:15,12.936,14.406,15.149,15.331,,,
251,2009/12/24 6:30,12.85,14.376,15.14,15.323,,,
252,2009/12/24 6:45,12.868,14.349,15.128,15.312,,,
253,2009/12/24 7:00,12.805,14.325,15.119,15.3,,,
254,2009/12/24 7:15,12.73,14.3,15.109,15.29,,,
255,2009/12/24 7:30,12.901,14.274,15.097,15.279,,,
256,2009/12/24 7:45,12.627,14.25,15.087,15.269,,,
257,2009/12/24 8:00,12.692,14.223,15.076,15.258,,,
258,2009/12/24 8:15,12.653,14.198,15.064,15.246,,,
259,2009/12/24 8:30,12.6,14.174,15.054,15.236,,,
260,2009/12/24 8:45,12.678,14.149,15.042,15.224,,,
261,2009/12/24 9:00,12.619,14.128,15.031,15.212,,,
262,2009/12/24 9:15,12.696,14.105,15.019,15.2,,,
263,2009/12/24 9:30,12.834,14.087,15.007,15.188,,,
264,2009/12/24 9:45,12.675,14.072,14.995,15.176,,,
265,2009/12/24 10:00,12.815,14.054,14.984,15.164,,,
266,2009/12/24 10:15,12.814,14.044,14.972,15.152,,,
267,2009/12/24 10:30,12.855,14.032,14.96,15.14,,,
268,2009/12/24 10:45,12.867,14.018,14.948,15.128,,,
269,2009/12/24 11:00,12.916,14.011,14.936,15.116,,,
270,2009/12/24 11:15,12.932,14.006,14.927,15.105,,,
271,2009/12/24 11:30,12.924,14.002,14.916,15.094,,,
272,2009/12/24 11:45,13.105,13.999,14.906,15.082,,,
273,2009/12/24 12:00,13.07,13.996,14.891,15.069,,,
274,2009/12/24 12:15,13.127,13.994,14.877,15.055,,,
275,2009/12/24 12:30,13.157,13.999,14.87,15.045,,,
276,2009/12/24 12:45,13.061,13.999,14.859,15.034,,,
277,2009/12/24 13:00,13.165,13.999,14.852,15.025,,,
278,2009/12/24 13:15,13.157,13.991,14.839,15.013,,,
279,2009/12/24 13:30,13.188,13.994,14.833,15.006,,,
280,2009/12/24 13:45,13.212,13.993,14.822,14.994,,,
281,2009/12/24 14:00,13.246,13.991,14.809,14.982,,,
282,2009/12/24 14:15,13.306,13.994,14.8,14.972,,,
283,2009/12/24 14:30,13.376,14,14.792,14.964,,,
284,2009/12/24 14:45,13.359,14.006,14.786,14.957,,,
285,2009/12/24 15:00,13.357,14.008,14.776,14.946,,,
286,2009/12/24 15:15,13.418,14.011,14.767,14.937,,,
287,2009/12/24 15:30,13.425,14.017,14.759,14.928,,,
288,2009/12/24 15:45,13.445,14.02,14.75,14.919,,,
289,2009/12/24 16:00,13.449,14.026,14.744,14.912,,,
290,2009/12/24 16:15,13.476,14.029,14.738,14.906,,,
291,2009/12/24 16:30,13.506,14.035,14.731,14.898,,,
292,2009/12/24 16:45,13.439,14.036,14.725,14.891,,,
293,2009/12/24 17:00,13.454,14.036,14.719,14.885,,,
294,2009/12/24 17:15,13.406,14.036,14.711,14.877,,,
