Plot Title: Hobo8,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)",Hôte connecté (LGR S/N: 21101045),Arrêté (LGR S/N: 21101045),Fin de fichier (LGR S/N: 21101045)
344,08/30/24 07:01:30 AM,,,,,,,
345,08/30/24 07:01:31 AM,,,,,,,
346,08/30/24 07:01:33 AM,,,,,,,
347,08/30/24 07:01:37 AM,,,,,,,
348,08/30/24 07:01:38 AM,,,,,,,
349,08/30/24 07:01:57 AM,,,,,,,
350,08/30/24 07:01:58 AM,,,,,,,
351,08/30/24 07:02:01 AM,,,,,,,
352,08/30/24 07:02:04 AM,,,,,,,
353,08/30/24 07:03:49 AM,,,,,,,
354,08/30/24 07:03:57 AM,,,,,,,
355,08/30/24 07:03:59 AM,,,,,,,
356,08/30/24 07:04:02 AM,,,,,,,
357,08/30/24 07:04:03 AM,,,,,,,
358,08/30/24 07:04:07 AM,,,,,,,
359,08/30/24 07:04:11 AM,,,,,,,
360,08/30/24 07:04:17 AM,,,,,,,
361,08/30/24 07:04:18 AM,,,,,,,
362,08/30/24 07:04:20 AM,,,,,,,
363,08/30/24 07:04:21 AM,,,,,,,
364,08/30/24 07:04:28 AM,,,,,,,
365,08/30/24 07:04:30 AM,,,,,,,
366,08/30/24 07:04:39 AM,,,,,,,
367,08/30/24 07:04:40 AM,,,,,,,
368,08/30/24 07:05:43 AM,,,,,,,
369,08/30/24 07:05:44 AM,,,,,,,
370,08/30/24 07:05:51 AM,,,,,,,
371,08/30/24 07:07:39 AM,,,,,,,
372,08/30/24 07:08:41 AM,,,,,,,
373,08/30/24 07:15:00 AM,-13.221,16.697,16.81,16.799,,,
374,08/30/24 07:30:00 AM,-13.216,16.694,16.802,16.784,,,
375,08/30/24 07:45:00 AM,-13.211,16.692,16.796,16.772,,,
